forecast_date,forecast_revenue
2018-10-18,85.64336823036311
2018-10-19,85.68827637775435
2018-10-20,85.73318452514559
2018-10-21,85.77809267253684
2018-10-22,85.82300081992808
2018-10-23,85.86790896731932
2018-10-24,85.91281711471056
2018-10-25,85.9577252621018
2018-10-26,86.00263340949304
2018-10-27,86.0475415568843
2018-10-28,86.09244970427554
2018-10-29,86.13735785166678
2018-10-30,86.18226599905802
2018-10-31,86.22717414644926
2018-11-01,86.2720822938405
2018-11-02,86.31699044123175
2018-11-03,86.36189858862299
2018-11-04,86.40680673601423
2018-11-05,86.45171488340547
2018-11-06,86.49662303079671
2018-11-07,86.54153117818795
2018-11-08,86.5864393255792
2018-11-09,86.63134747297045
2018-11-10,86.67625562036169
2018-11-11,86.72116376775293
2018-11-12,86.76607191514417
2018-11-13,86.8109800625354
2018-11-14,86.85588820992666
2018-11-15,86.9007963573179
2018-11-16,86.94570450470914
2018-11-17,86.99061265210038
2018-11-18,87.03552079949162
2018-11-19,87.08042894688286
2018-11-20,87.12533709427412
2018-11-21,87.17024524166536
2018-11-22,87.2151533890566
2018-11-23,87.26006153644784
2018-11-24,87.30496968383908
2018-11-25,87.34987783123032
2018-11-26,87.39478597862157
2018-11-27,87.43969412601281
2018-11-28,87.48460227340405
2018-11-29,87.52951042079529
2018-11-30,87.57441856818653
2018-12-01,87.61932671557777
2018-12-02,87.66423486296901
2018-12-03,87.70914301036026
2018-12-04,87.7540511577515
2018-12-05,87.79895930514274
2018-12-06,87.84386745253398
2018-12-07,87.88877559992522
2018-12-08,87.93368374731646
2018-12-09,87.97859189470772
2018-12-10,88.02350004209896
2018-12-11,88.0684081894902
2018-12-12,88.11331633688144
2018-12-13,88.15822448427268
2018-12-14,88.20313263166392
2018-12-15,88.24804077905517
2018-12-16,88.29294892644641
2018-12-17,88.33785707383765
2018-12-18,88.3827652212289
2018-12-19,88.42767336862013
2018-12-20,88.47258151601137
2018-12-21,88.51748966340263
2018-12-22,88.56239781079387
2018-12-23,88.60730595818511
2018-12-24,88.65221410557635
2018-12-25,88.69712225296759
2018-12-26,88.74203040035883
2018-12-27,88.78693854775008
2018-12-28,88.83184669514132
2018-12-29,88.87675484253256
2018-12-30,88.9216629899238
2018-12-31,88.96657113731504
2019-01-01,89.01147928470628
2019-01-02,89.05638743209754
2019-01-03,89.10129557948878
2019-01-04,89.14620372688002
2019-01-05,89.19111187427126
2019-01-06,89.2360200216625
2019-01-07,89.28092816905374
2019-01-08,89.32583631644499
2019-01-09,89.37074446383623
2019-01-10,89.41565261122747
2019-01-11,89.46056075861871
2019-01-12,89.50546890600995
2019-01-13,89.55037705340119
2019-01-14,89.59528520079243
2019-01-15,89.64019334818369
